Tag ID,Marketplace Tag Name,Tag Title,Tag Status,Tag Load Rule Mappings,Tag Data Mappings
,,,,js.mouseflow_inc_load,cp.utag_main_utm_campaign_ses - utmCampaign,
,,,,js.pag_pagetitle,cp.utag_main_utm_medium_ses - utmMedium,
,,,,js.ut.event,cp.utag_main_utm_source_ses - utmSource,
,,,,,js.pag_pagetitle - page_url, mouseflowPath,
,,,,,js.psn_usr_language - userLanguage,
,,,,,js_page.localStorage.optimizelyExperimentVariationKey - optimizelyExperimentGroup,

1130,Krux-Ereignispixel,"Krux  - Residential - Expose - Map POI DSL",active,js.cmp_load,js.obj_ityp - obj_ityp,
,,,,js.evt_ga_action,,
,,,,js.evt_ga_category,,
,,,,js.evt_ga_label,,
,,,,js.salesforce_dmp_krux_load,,

1131,Krux-Ereignispixel,"Krux - Residential - Expose - Map POI Mobile",active,js.cmp_load,js.obj_ityp - obj_ityp,
,,,,js.evt_ga_action,,
,,,,js.evt_ga_category,,
,,,,js.evt_ga_label,,
,,,,js.salesforce_dmp_krux_load,,

1135,Bing Ads Universal Event Tracking (UET),"Bing (B) PPA Sale (m027)",inactive,cp.utag_main_bing_optout,cp.utag_main_seaid_ses - ec,
,,,,cp.utag_main_seaid_ses,,
,,,,js.bing_load,,
,,,,js.cmp_load,,
,,,,js.com_cit_articlename,,
,,,,js.com_cit_articlenumber,,
,,,,js.psn_act_commercial,,
,,,,js.svc_consumer_sco,,

1147,Criteo OneTag,"Criteo OneTag - Tagging User Split for Anbieten Box",active,js.cmp_load,js.psn_usr_segment - setData.from,
,,,,js.criteo_sa_load,,
,,,,js.pag_pagetitle,,

1162,Tealium Pixel (or Iframe) Container,"Taboola - Retargeting for Realtor LE",active,js.cmp_load,None,
,,,,js.pag_pagetitle,,
,,,,js.svc_module_name,,
,,,,js.taboola_europe_limited_load,,

1164,DoubleClick - Floodlight,"DoubleClick - Floodlight - Gewerbekontakt Mail+Call - metapeople",active,cp.utag_main_doubleclick_optout,None,
,,,,js.cmp_load,,
,,,,js.evt_count_pm_suche,,
,,,,js.evt_event,,
